Client,Type,Account,Communication Channel,Update,Action,Assets,Onboarding Docs,Size,Notes
P2P,Validator,Raj,Telegram and Email,Sheet #2,,,mNdA + KYB,"$6,120,129,459",https://www.p2p.org/
Twinstake,Validator,Lorenzo,Slack,Sheet #3,,,mNdA + KYB,"$1,120,000,000",https://www.stakingrewards.com/provider/twinstake
Figment,Validator,Lorenzo,Telegram,"Lorenzo met in Cannes, we need to get their NdA.","- NdA
- Demo intro call",,,"$3,440,000,000",https://www.stakingrewards.com/provider/figment-networks
Globalstake,Validator,Lorenzo,Slack and Email,"- Fireblocks wants Globalstake to pay $18K for the ability to connect.
- Sent Referral agreement
- Ed McNamara to review RA instead of the other contract.",What do we do since Fireblocks wants them to pay $18K quote for the ability to connect?,,mNdA,"$109,700,000",https://www.stakingrewards.com/provider/globalstake
Meria,Validator,Ralph,Telegram and Email,"- Sent them the FB and DFNS setup guides 02.06.
- Setup will take some time
- Sent referral agreement ","1. We can whitelisting their validators
2. If they are using a custody solution we can onboard on testnet for 30 days
3. They sign a license agreement then we can move them to mainnet",,mNdA + KYB,"$98,980,000",https://www.stakingrewards.com/provider/meria
Chorus One,Validator,Ralph,Telegram and Email,"- Following the meeting in Dubai, Albert will check internally regarding opportunities to unlock client assets (top-tier VCs) through IH using Fireblocks.
- They have informed us that due to limited resources and different priorities, they have put this on hold.
- Sent referral agreement 01/07","Re-engage via TG with Swiss referral agreement
NDA + Ask for list of assets + after send referral ",,None,"$2,440,000,000",https://www.stakingrewards.com/provider/chorus-one
Everstake,Validator,Lorenzo,Telegram and Email,"- Follow up message sent 23.06 on TG
- Sent referral agreement 01/07
- Meeting in cannes on 1st of July went well","Finalise referral agreement, then we will do a joint marketing strategy and get clients together",,mNdA,"$5,830,000,000",https://www.stakingrewards.com/provider/everstake
Validation Cloud,Validator,Ralph,Email,"- Lorenzo met Emmanuel in Dubai 29/05 and sent a follow up email with pitch deck and demo.
- Call on 22/05 to discuss next steps went well, we've sent our list of assets.
- Sent referral agreement 01/07",Florian will send the Swiss contract to Ralph Kubli.,,mNdA + KYB,"$463,050,000",https://www.stakingrewards.com/provider/validation-cloud
Ethernodes,Validator,Raj,Telegram,"- We demoed the Colossus platform to EtherNodes. They have successfully onboarded to DFNS and 
will require some time to complete integration with their internal systems.
- Sent referral agreement ",Follow up on RA fees via TG,,None,"$67,640,000",https://www.stakingrewards.com/provider/alphanodes
Blockdaemon,Validator,Lorenzo,Email,"- Blockdaemon is also a Custodian, they support 50 chains as validators but their staking API only supports 6.
- Tim has already shared API docs of the custody environment (demo environment available which he will re-send to us)
- Follow up email sent on 23/06 by Lorenzo after meeting in Stockholm",Setup a call with head of Product to discuss potential integration., ,None,"$1,730,000,000",https://www.stakingrewards.com/provider/blockdaemon
Stakin,Validator,Lorenzo,Telegram and Email,"- Intro call on 26th, they shared list of networks and vallidator addresses
- Sent referral agreement",- Test environment setup,,mNdA,"$1,850,000,000",https://www.stakingrewards.com/provider/stakin
Simply Staking,Validator,Raj,Telegram and Email,Sent referral agreement,Send Docusign,,mNdA + KYB,"$641,390,000",https://www.stakingrewards.com/provider/simply-staking
Blockscape,Validator,Ralph,Telegram and Email,Lorenzo and Volker are communicating privately. No answer from Volker. ,"Send referral agreement
Write to Michael via TG", ,None,"$631,720,000",https://www.stakingrewards.com/provider/blockscape
